domain,protocol,model,seed,experiment_id,in_registry,status,epochs_run,epochs_planned,best_epoch,train_seconds,n_test,predictions_sha256
idrid,frozen,ImageNet-MAE,5,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s5,True,COMPLETE,97,200,-1,55.2,507,3ff71d3d1d6cbe19288ab57244448f44030dcbf91f153c3d4ef9e662fe8b058d
idrid,frozen,ImageNet-MAE,6,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s6,True,COMPLETE,144,200,-1,82.0,507,d87161388026adbb131c700671b21fe7e9dfb620504dd8d78ea5226e3c954ab4
idrid,frozen,ImageNet-MAE,7,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s7,True,COMPLETE,83,200,-1,47.6,507,f08405d836bdba14a498fed74525d3e465cf7fffa68afb5b27b35290e6946a97
idrid,frozen,ImageNet-MAE,8,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s8,True,COMPLETE,193,200,-1,109.9,507,dad4716f76c1ac528e997fad0018853d9ac0be7b97355fafbcd5817359740c7f
idrid,frozen,ImageNet-MAE,9,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s9,True,COMPLETE,73,200,-1,42.6,507,a79202f0e3f0e4709a73433a23d96f64e3b843516a7e58a4e21c5a0efbab9b6d
idrid,frozen,RETFound,42,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s42,True,COMPLETE,107,200,-1,57.6,507,71c2dd58dc96e2c56d725bbc1a0ae5322ef7acc3c0c74308f4e804f8fa699c52
idrid,frozen,RETFound,1,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s1,True,COMPLETE,200,200,-1,108.7,507,44f9e0b307e00d75f0075b3d267be1a59d7ffd0f28b2e0521f4b499342be3de8
idrid,frozen,RETFound,2,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s2,True,COMPLETE,200,200,-1,106.4,507,3b1752b235f398c22e5370c979413a73933d3990751941f3e58a2dc4c290321a
idrid,frozen,RETFound,3,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s3,True,COMPLETE,105,200,-1,55.1,507,ed3833cbfc215e4473821ebd72ac81ad9193d2c4b6903ee3e0445c77ab57a67c
idrid,frozen,RETFound,4,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s4,True,COMPLETE,111,200,-1,57.3,507,7b0e2d2280e41183dd727a1529d32d173d2d8dc7fa86c6b07727b1ccd56df039
idrid,frozen,RETFound,5,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s5,True,COMPLETE,96,200,-1,55.9,507,02d1c52b7c0d3d8b106c58f7bcb4161b622de43f23cb1a0ea84526a9dc9c08de
idrid,frozen,RETFound,6,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s6,True,COMPLETE,144,200,-1,84.8,507,6f25fd38b03f1b6fd0c2251a8f0a07d3cd1414bedb5f3bfa949237655886a57e
idrid,frozen,RETFound,7,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s7,True,COMPLETE,198,200,-1,115.0,507,8e796c50fc6c256f861d1758be61377969031f4f1bf051d3a0965ef8034a9c3d
idrid,frozen,RETFound,8,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s8,True,COMPLETE,200,200,-1,115.3,507,5ac2534bae3ed8f47df2e69f4ddf90ff2f4f6db964367509c1321c61fe65bd75
idrid,frozen,RETFound,9,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s9,True,COMPLETE,121,200,-1,69.2,507,265bd57f9e34bc6232b715572b958a2daa04e89284e7ed2115ef8256b4230961
idrid,partial,ImageNet-MAE,42,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,True,COMPLETE,20,20,14,7660.4,507,965af0e5fb9a6462dc432708e5506f4e361ccc08b3461a2a22c9acc76126d58d
idrid,partial,ImageNet-MAE,1,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,True,COMPLETE,17,20,10,6529.0,507,8500ca6d2f96ac6f634b16c456d6878a9388124b802dedf2f91e6598d4451a44
idrid,partial,ImageNet-MAE,2,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,True,COMPLETE,15,20,8,5772.8,507,a0d7d9d012bae351d71dfcf72548b8fc16ebbbc176205ebcf2869a065ab0a61a
idrid,partial,ImageNet-MAE,3,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,True,COMPLETE,13,20,6,4958.9,507,955db2c62891d49043f450d3cc653a8a5015e0c07d03e02237de75e2819eb5e4
idrid,partial,ImageNet-MAE,4,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,True,COMPLETE,18,20,11,6888.5,507,f545f092889d5be5b2cb8532fa6463ef45cd9b1079ec72d2b63855325c486a08
idrid,partial,RETFound,42,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42,True,COMPLETE,14,20,7,5387.4,507,849c0a1a29fadc805dbcc2eff898105a4b9e034e126062bba32b07452f5dde6d
