artifact,role,size_bytes,sha256,source_run,required_for
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s4__target_test[idrid]_predictions.csv,predictions,96608,7b0e2d2280e41183dd727a1529d32d173d2d8dc7fa86c6b07727b1ccd56df039,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s4,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s4_evaluation.json,config/report,9207,81b613c1b4e99adce0571bd38198cbc9f9034c30c3ffce50e40eeeb4d8391525,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s5__target_test[idrid]_predictions.csv,predictions,96441,02d1c52b7c0d3d8b106c58f7bcb4161b622de43f23cb1a0ea84526a9dc9c08de,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s5,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s5_evaluation.json,config/report,9196,010344c28ddcf68bfd1c23d03040d06de065eda14842e4711472d74702d4c4cf,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s5,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s6__target_test[idrid]_predictions.csv,predictions,96519,6f25fd38b03f1b6fd0c2251a8f0a07d3cd1414bedb5f3bfa949237655886a57e,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s6,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s6_evaluation.json,config/report,9191,b717f865d8928567eae155b617a7103f5dd18e8c3d0fec370e2c2fd993faa2ce,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s6,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s7__target_test[idrid]_predictions.csv,predictions,96475,8e796c50fc6c256f861d1758be61377969031f4f1bf051d3a0965ef8034a9c3d,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s7,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s7_evaluation.json,config/report,9209,c06bbcf3b7dd3ee900f54c226c03fb11ba3523d7dea9494121fccef242e6e554,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s7,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s8__target_test[idrid]_predictions.csv,predictions,96399,5ac2534bae3ed8f47df2e69f4ddf90ff2f4f6db964367509c1321c61fe65bd75,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s8,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s8_evaluation.json,config/report,9160,bd0980d1a8a6bef554deca661e022179e4e79b1b0bb2dbc66145f0bdf9f83aae,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s8,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s9__target_test[idrid]_predictions.csv,predictions,96562,265bd57f9e34bc6232b715572b958a2daa04e89284e7ed2115ef8256b4230961,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s9,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s9_evaluation.json,config/report,9212,815e1f9fa3d791bca010e8079f58fd36438dbbe6ef242dbc337c7318dff9f5aa,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s9,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42__target_test[idrid]_predictions.csv,predictions,97308,965af0e5fb9a6462dc432708e5506f4e361ccc08b3461a2a22c9acc76126d58d,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42_evaluation.json,config/report,9392,4af3a50c3720a205ea2276d6d31330f8aef281f04eaf591eaf3c7f36a76c4144,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1__target_test[idrid]_predictions.csv,predictions,96637,8500ca6d2f96ac6f634b16c456d6878a9388124b802dedf2f91e6598d4451a44,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1_evaluation.json,config/report,9389,d08959153cb77dc87eca143d76912b9907581a48701505efeea90c2dbe76cb9a,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2__target_test[idrid]_predictions.csv,predictions,96432,a0d7d9d012bae351d71dfcf72548b8fc16ebbbc176205ebcf2869a065ab0a61a,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2_evaluation.json,config/report,9406,ca082199ee7e4564f1f679907e5505ab8038ff084370924bd21ba786437578ca,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3__target_test[idrid]_predictions.csv,predictions,96392,955db2c62891d49043f450d3cc653a8a5015e0c07d03e02237de75e2819eb5e4,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3_evaluation.json,config/report,9382,2981995d2604ed1e3ed0db2b936832b16a0fc432ee5f4c4c89e849fee2a8324a,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4__target_test[idrid]_predictions.csv,predictions,96933,f545f092889d5be5b2cb8532fa6463ef45cd9b1079ec72d2b63855325c486a08,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4_evaluation.json,config/report,9385,7989386654caf09d1b7478fcb34fa81e1d53a96d6a81484b11365a0fb6f14c8b,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42__target_test[idrid]_predictions.csv,predictions,97334,849c0a1a29fadc805dbcc2eff898105a4b9e034e126062bba32b07452f5dde6d,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42_evaluation.json,config/report,9347,490b07f46354918fc618c07f7435d3b0410a9cfc3031e67e80aee42eec207683,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1__target_test[idrid]_predictions.csv,predictions,97400,69d7763949331d61441a1eb40529e968bd66c23216e3d6ff9dcad2e382c912b8,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1,master results; adaptation depth
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1_evaluation.json,config/report,9390,c9f6157e09587464a57ebcc7f29001365745785b5cdc548d42b48893897ba160,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s2__target_test[idrid]_predictions.csv,predictions,97812,653f8662988916741133da092179841d88d760e74c5ad137f569bff5365b6dac,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s2,master results; adaptation depth
