artifact,role,size_bytes,sha256,source_run,required_for
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s8_evaluation.json,config/report,9128,956f974fe6418dc6933825f2e0cb0a065472c0c3c79bb6a8c0a6aca990097e62,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s8,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s9__target_test[ddr]_predictions.csv,predictions,2373587,3d57bdb5f99de378d45e5644839fc26f11eb9c6119031f139960a2abdf104dcb,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s9,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s9_evaluation.json,config/report,9146,ea26922b898b624af735ac05d7248f353fe078703f3b9d786273917e567b0911,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_linprobe-b256_s9,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s42__target_test[ddr]_predictions.csv,predictions,2376106,681fda844bbf12dac2eab1aa9bbd0d7e7a3c6541be3c88cf37be07bde0c4f244,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s42,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s42_evaluation.json,config/report,9241,a8249f6e0aba376bc51c84c885fcc7de507cf28cdc29f3aae6aa829e8f52950d,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s1__target_test[ddr]_predictions.csv,predictions,2376203,91e280b5efc3e9b10324259287a1ab3c1999c2acad31556e8f73592c32cb9687,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s1,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s1_evaluation.json,config/report,9245,d8770f656dc181de7bfdaca80cec2b75807dacb45e56a73ca9e0a5e81ff61c5e,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s2__target_test[ddr]_predictions.csv,predictions,2375192,57524af913b86e38bd7ab580ad6f09847bd401174a2d7726eb5c0fc10c493e8d,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s2,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s2_evaluation.json,config/report,9229,5733d02250d8671ec3adbed32bfc0fe05c7b32d2193e115daaa33efc3b9f0c8c,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s3__target_test[ddr]_predictions.csv,predictions,2375800,ea682efe5a6a96c368dba86fb86ad86838a88b186949aceff3262a2b3c522538,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s3,primary interaction; master results; referable-DR secondary
